WL(nm),IKONOS Pan,IKONOS Blue,IKONOS Green,IKONOS Red,IKONOS NIR
615,0.98353783,0.034222388,0.082488124,0.12485797,0.0044562658
620,1,0.027068985,0.064010815,0.17640953,0.0040521041
625,0.99291413,0.019496044,0.047370052,0.2584435,0.0045958606
630,0.99999791,0.019494495,0.031965955,0.41884692,0.0054107183
635,0.98732019,0.019029528,0.02268674,0.63811567,0.0051124828
640,0.97308901,0.013971334,0.016569918,0.80451162,0.0072683959
645,0.94188579,0.0073496329,0.01448429,0.87835997,0.0071496037
650,0.93690124,0.0059518905,0.014836192,0.91959041,0.0084676192
655,0.90327028,0.0051498614,0.016221587,0.95323525,0.012251442
660,0.88708635,0.0078761719,0.018641834,0.95585561,0.016844472
665,0.86923836,0.012332748,0.019873041,0.92885183,0.019310267
670,0.88379137,0.019960881,0.018794257,0.93889398,0.021381415
675,0.88257333,0.02205759,0.015159362,0.98663012,0.022096626
680,0.88447928,0.020786423,0.012519733,0.99679448,0.023315482
685,0.89527483,0.019005236,0.011884634,0.90792152,0.025043792
690,0.89652953,0.015479189,0.010866113,0.76975269,0.024854784
695,0.92600434,0.0097348873,0.013545742,0.59192729,0.026625855
700,0.92323247,0.0068085398,0.016509155,0.42151716,0.028339905
705,0.9076066,0.0049230391,0.018302622,0.30531412,0.034749026
710,0.90142977,0.0053827819,0.015880356,0.22622358,0.043749107
715,0.90461345,0.011521997,0.011200067,0.15833408,0.053964385
720,0.89990829,0.02224642,0.0063477165,0.10457842,0.076355211
725,0.88740694,0.023987964,0.0055086587,0.067351972,0.10466128
730,0.8928657,0.012064753,0.0033906048,0.044734725,0.14694115
735,0.88651989,0.0040216511,0.0038792554,0.029932545,0.1969393
740,0.89803867,0.0022137765,0.0035116747,0.023949286,0.25916012
745,0.9111355,0.0025546348,0.0029683016,0.02197624,0.30876675
750,0.94402603,0.0022618359,0.0031138307,0.01836356,0.35711935
755,0.95889019,0.0034610245,0.0022706658,0.015902878,0.44372555
760,0.93522852,0.0024657138,0.0034446315,0.016227784,0.56504531
765,0.957854,0.0023220384,0.0035667605,0.015669734,0.70135901
770,0.97378115,0.0039854035,0.005317757,0.016494114,0.83656017
775,0.97397755,0.0036083906,0.0065055312,0.017114351,0.94273164
780,0.96845658,0.0027012365,0.0071572099,0.016295915,1
785,0.95900344,0.0023816987,0.0088763343,0.012097337,0.99599803
790,0.94973566,0.0026356849,0.0095319026,0.0090690647,0.93069142
795,0.91506745,0.0022483336,0.008004589,0.006771099,0.8321112
800,0.89841837,0.0015988783,0.0070322428,0.0062199134,0.79089593
805,0.91304151,0.0015587894,0.0064393122,0.0055550389,0.77341052
810,0.93472774,0.0019887337,0.0061115197,0.0041729225,0.76265341
815,0.92834854,0.0019952242,0.005616018,0.0042245413,0.70904305
820,0.93972819,0.0025238814,0.005261471,0.0050043648,0.70566559
825,0.90684638,0.0036006707,0.0061467251,0.003987271,0.69007585
830,0.92238413,0.0056229946,0.0073887369,0.0039653087,0.65588248
835,0.9362497,0.0065967275,0.0066654087,0.0026829718,0.62207346
840,0.95142676,0.0075494873,0.0067153987,0.0030051542,0.58100233
845,0.94515085,0.0079634881,0.009429521,0.0025447103,0.53391531
850,0.95301286,0.0094708052,0.012807927,0.0032567822,0.51456695
855,0.92317563,0.0082842281,0.014270593,0.0025577299,0.48773936
860,0.91913195,0.0087740306,0.01592344,0.0026268433,0.41809693
865,0.86088508,0.0092583094,0.017087005,0.002758247,0.32202022
870,0.87358767,0.010660203,0.017232367,0.002672992,0.24868906
875,0.8269954,0.012502411,0.016278556,0.0028444264,0.17125855
880,0.80876836,0.013111267,0.015242255,0.0025509374,0.11381612
885,0.79204371,0.013058052,0.013398732,0.0025910295,0.07121782
890,0.76208672,0.011862695,0.011966933,0.00247425,0.058025823
895,0.74852114,0.010502905,0.010567856,0.0023761867,0.043566164
900,0.7071081,0.0094747567,0.0099724793,0.0023305716,0.027166688
905,0.68684832,0.0087899106,0.0091920007,0.0028914942,0.0194282
910,0.68071097,0.0083913291,0.0097529608,0.0027133153,0.015875173
915,0.6693768,0.0082283951,0.0088995553,0.0030930626,0.013120162
920,0.61399925,0.0080213776,0.00842837,0.0039119153,0.010670285
925,0.57828894,0.0083524984,0.0077958257,0.0040077608,0.0096368356
930,0.55578479,0.0081119528,0.0075225282,0.0040140283,0.0087943815
935,0.51643934,0.007994106,0.0069690585,0.0034557628,0.0070888633
940,0.48060619,0.0080146331,0.0058619494,0.0026469603,0.0060099573
945,0.47078303,0.0068529124,0.0054132757,0.002189288,0.0052586171
950,0.43447309,0.0054489572,0.0045686805,0.0016385776,0.0049498053
955,0.39553817,0.004799628,0.0039489541,0.0014275076,0.0041310064
960,0.35162416,0.0044676224,0.0036032176,0.0013131237,0.0040705611
965,0.33689268,0.0040962302,0.0032604058,0.0013772265,0.0038572151
970,0.30946329,0.0036018852,0.0029458137,0.0011085775,0.0034410135
975,0.28446365,0.0034598104,0.0027603359,0.0011741484,0.0032191139
980,0.27062665,0.0032610058,0.0027845043,0.0011595889,0.0027891801
985,0.24904928,0.0027508615,0.0022345572,0.0010037082,0.0035634643
990,0.23651639,0.0028148783,0.0024687508,0.0016226671,0.0026893727
995,0.21554462,0.0023760919,0.0022327462,0.0009806087,0.0025128749
1000,0.19548947,0.0023461297,0.002535945,0.001327624,0.0027495808
1005,0.18006592,0.0026199848,0.0020665253,0.001433776,0.0044933565
1010,0.16396846,0.0026471597,0.0017339481,0.0029403104,0.0037861982
1015,0.14933017,0.0026012449,0.0020999872,0.0017517888,0.0020074048
1020,0.13637152,0.0016015197,0.0020397277,0.002340603,0.0017930315
1025,0.11868157,0.0019455141,0.002218278,0.001259632,0.0027541026
1030,0.10363394,0.0024172391,0.0013764092,0.00089781358,0
1035,0.089096608,0.0012996153,0.0016024902,0,0
