WL(nm),S2A B2,S2A B3,S2A B4,S2A B8
550,0,0.88818924,0,0
551,0,0.86523756,0,0
552,0,0.84718187,0,0
553,0,0.8387572,0,0
554,0,0.84459081,0,0
555,0,0.86219653,0,0
556,0,0.88838714,0,0
557,0,0.92443236,0,0
558,0,0.96017974,0,0
559,0,0.98685516,0,0
560,0,1,0,0
561,0,0.9986008,0,0
562,0,0.98076472,0,0
563,0,0.94522089,0,0
564,0,0.8981778,0,0
565,0,0.85580323,0,0
566,0,0.81841734,0,0
567,0,0.78862048,0,0
568,0,0.76460653,0,0
569,0,0.74963745,0,0
570,0,0.75055111,0,0
571,0,0.76137888,0,0
572,0,0.78244479,0,0
573,0,0.79890086,0,0
574,0,0.81016957,0,0
575,0,0.81408886,0,0
576,0,0.77358596,0,0
577,0,0.62881065,0,0
578,0,0.40397555,0,0
579,0,0.21542098,0,0
580,0,0.10715281,0,0
581,0,0.04792877,0,0
582,0,0.01848693,0,0
583,0,0.00108588,0,0
584,0,0,0,0
585,0,0,0,0
586,0,0,0,0
587,0,0,0,0
588,0,0,0,0
589,0,0,0,0
590,0,0,0,0
591,0,0,0,0
592,0,0,0,0
593,0,0,0,0
594,0,0,0,0
595,0,0,0,0
596,0,0,0,0
597,0,0,0,0
598,0,0,0,0
599,0,0,0,0
600,0,0,0,0
601,0,0,0,0
602,0,0,0,0
603,0,0,0,0
604,0,0,0,0
605,0,0,0,0
606,0,0,0,0
607,0,0,0,0
608,0,0,0,0
609,0,0,0,0
610,0,0,0,0
611,0,0,0,0
612,0,0,0,0
613,0,0,0,0
614,0,0,0,0
615,0,0,0,0
616,0,0,0,0
617,0,0,0,0
618,0,0,0,0
619,0,0,0,0
620,0,0,0,0
621,0,0,0,0
622,0,0,0,0
623,0,0,0,0
624,0,0,0,0
625,0,0,0,0
626,0,0,0,0
627,0,0,0,0
628,0,0,0,0
629,0,0,0,0
630,0,0,0,0
631,0,0,0,0
632,0,0,0,0
633,0,0,0,0
634,0,0,0,0
635,0,0,0,0
636,0,0,0,0
637,0,0,0,0
638,0,0,0,0
639,0,0,0,0
640,0,0,0,0
641,0,0,0,0
642,0,0,0,0
643,0,0,0,0
644,0,0,0,0
645,0,0,0,0
646,0,0,0.00141521,0
647,0,0,0.02590238,0
648,0,0,0.11651178,0
649,0,0,0.39088616,0
650,0,0,0.74959342,0
651,0,0,0.94485805,0
652,0,0,0.98011173,0
653,0,0,0.99406309,0
654,0,0,1,0
655,0,0,0.99545475,0
656,0,0,0.99052772,0
657,0,0,0.97733476,0
658,0,0,0.94055988,0
659,0,0,0.87894956,0
660,0,0,0.81629384,0
661,0,0,0.77345952,0
662,0,0,0.75448766,0
663,0,0,0.75991531,0
664,0,0,0.7826343,0
665,0,0,0.8101689,0
666,0,0,0.83612975,0
667,0,0,0.86125424,0
668,0,0,0.88609106,0
669,0,0,0.91138767,0
670,0,0,0.93405146,0
671,0,0,0.95042063,0
672,0,0,0.9592573,0
673,0,0,0.96039555,0
674,0,0,0.95913395,0
675,0,0,0.95809013,0
676,0,0,0.95527459,0
677,0,0,0.94376465,0
678,0,0,0.89490799,0
679,0,0,0.74426308,0
680,0,0,0.476777,0
681,0,0,0.22960399,0
682,0,0,0.08009118,0
683,0,0,0.02617076,0
684,0,0,0.00415242,0
685,0,0,0,0
686,0,0,0,0
687,0,0,0,0
688,0,0,0,0
689,0,0,0,0
690,0,0,0,0
691,0,0,0,0
692,0,0,0,0
693,0,0,0,0
694,0,0,0,0
695,0,0,0,0
696,0,0,0,0
697,0,0,0,0
698,0,0,0,0
699,0,0,0,0
700,0,0,0,0
701,0,0,0,0
702,0,0,0,0
703,0,0,0,0
704,0,0,0,0
705,0,0,0,0
706,0,0,0,0
707,0,0,0,0
708,0,0,0,0
709,0,0,0,0
710,0,0,0,0
711,0,0,0,0
712,0,0,0,0
713,0,0,0,0
714,0,0,0,0
715,0,0,0,0
716,0,0,0,0
717,0,0,0,0
718,0,0,0,0
719,0,0,0,0
720,0,0,0,0
721,0,0,0,0
722,0,0,0,0
723,0,0,0,0
724,0,0,0,0
725,0,0,0,0
726,0,0,0,0
727,0,0,0,0
728,0,0,0,0
729,0,0,0,0
730,0,0,0,0
731,0,0,0,0
732,0,0,0,0
733,0,0,0,0
734,0,0,0,0
735,0,0,0,0
736,0,0,0,0
737,0,0,0,0
738,0,0,0,0
739,0,0,0,0
740,0,0,0,0
741,0,0,0,0
742,0,0,0,0
743,0,0,0,0
744,0,0,0,0
745,0,0,0,0
746,0,0,0,0
747,0,0,0,0
748,0,0,0,0
749,0,0,0,0
750,0,0,0,0
751,0,0,0,0
752,0,0,0,0
753,0,0,0,0
754,0,0,0,0
755,0,0,0,0
756,0,0,0,0
757,0,0,0,0
758,0,0,0,0
759,0,0,0,0
760,0,0,0,0.00067259
761,0,0,0,0.00388856
762,0,0,0,0
763,0,0,0,0
764,0,0,0,0
765,0,0,0,0
766,0,0,0,0
767,0,0,0,0
768,0,0,0,0
769,0,0,0,0
770,0,0,0,0
771,0,0,0,0
772,0,0,0,0
773,0,0,0,0.00028956
774,0,0,0,0.00702964
775,0,0,0,0.01752391
776,0,0,0,0.03231111
777,0,0,0,0.05328661
778,0,0,0,0.08299885
779,0,0,0,0.12748502
780,0,0,0,0.19591065
781,0,0,0,0.30246323
782,0,0,0,0.43553954
783,0,0,0,0.57141637
784,0,0,0,0.69766701
785,0,0,0,0.80303852
786,0,0,0,0.89115744
787,0,0,0,0.95284584
788,0,0,0,0.98894161
789,0,0,0,1
790,0,0,0,0.98840653
791,0,0,0,0.96389216
792,0,0,0,0.94207967
793,0,0,0,0.93694643
794,0,0,0,0.94227343
795,0,0,0,0.95395718
796,0,0,0,0.96828896
797,0,0,0,0.97966549
798,0,0,0,0.9854444
799,0,0,0,0.98592681
800,0,0,0,0.98391181
801,0,0,0,0.97793903
802,0,0,0,0.97722771
803,0,0,0,0.97810609
804,0,0,0,0.98144486
805,0,0,0,0.98764558
806,0,0,0,0.98857708
807,0,0,0,0.9862422
808,0,0,0,0.98070921
809,0,0,0,0.97078624
810,0,0,0,0.95721089
811,0,0,0,0.93865821
812,0,0,0,0.91672388
813,0,0,0,0.89620759
814,0,0,0,0.872888
815,0,0,0,0.85160331
816,0,0,0,0.8246394
817,0,0,0,0.80078117
818,0,0,0,0.7823386
819,0,0,0,0.76360274
820,0,0,0,0.74962771
821,0,0,0,0.7387221
822,0,0,0,0.73079407
823,0,0,0,0.72271237
824,0,0,0,0.72507708
825,0,0,0,0.72563856
826,0,0,0,0.72304217
827,0,0,0,0.72229211
828,0,0,0,0.71616364
829,0,0,0,0.71159446
830,0,0,0,0.70826954
831,0,0,0,0.70157205
832,0,0,0,0.69924532
833,0,0,0,0.70093762
834,0,0,0,0.70692733
835,0,0,0,0.71824001
836,0,0,0,0.73124634
837,0,0,0,0.7484061
838,0,0,0,0.76818541
839,0,0,0,0.78394807
840,0,0,0,0.7968381
841,0,0,0,0.80260206
842,0,0,0,0.8045194
843,0,0,0,0.80240918
844,0,0,0,0.79699072
845,0,0,0,0.78920304
846,0,0,0,0.77691621
847,0,0,0,0.76518406
848,0,0,0,0.75119717
849,0,0,0,0.73700357
850,0,0,0,0.72262399
851,0,0,0,0.70412578
852,0,0,0,0.68410805
853,0,0,0,0.66474528
854,0,0,0,0.64736891
855,0,0,0,0.63005125
856,0,0,0,0.61564222
857,0,0,0,0.60249557
858,0,0,0,0.58988992
859,0,0,0,0.57993399
860,0,0,0,0.57136506
861,0,0,0,0.56094242
862,0,0,0,0.55235105
863,0,0,0,0.54568236
864,0,0,0,0.53958052
865,0,0,0,0.53510215
866,0,0,0,0.53093675
867,0,0,0,0.53016508
868,0,0,0,0.52984662
869,0,0,0,0.53036682
870,0,0,0,0.53211463
871,0,0,0,0.53271918
872,0,0,0,0.53246806
873,0,0,0,0.53331158
874,0,0,0,0.5319278
875,0,0,0,0.53051055
876,0,0,0,0.52951499
877,0,0,0,0.52996848
878,0,0,0,0.53253373
879,0,0,0,0.53705085
880,0,0,0,0.54235344
881,0,0,0,0.54912497
882,0,0,0,0.55523055
883,0,0,0,0.56011135
884,0,0,0,0.55767999
885,0,0,0,0.54821984
886,0,0,0,0.53144613
887,0,0,0,0.50763528
888,0,0,0,0.47811224
889,0,0,0,0.45092793
890,0,0,0,0.42798466
891,0,0,0,0.41051405
892,0,0,0,0.40039139
893,0,0,0,0.40087302
894,0,0,0,0.40829375
895,0,0,0,0.42086556
896,0,0,0,0.43007022
897,0,0,0,0.42456692
898,0,0,0,0.39136817
899,0,0,0,0.33009008
900,0,0,0,0.25720509
901,0,0,0,0.18189031
902,0,0,0,0.11650668
903,0,0,0,0.07031579
904,0,0,0,0.04275381
905,0,0,0,0.02593154
906,0,0,0,0.01574394
907,0,0,0,0.00394326
908,0,0,0,0
909,0,0,0,0
910,0,0,0,0
911,0,0,0,0
912,0,0,0,0
913,0,0,0,0
914,0,0,0,0
915,0,0,0,0
916,0,0,0,0
917,0,0,0,0
918,0,0,0,0
919,0,0,0,0
920,0,0,0,0
921,0,0,0,0
922,0,0,0,0
923,0,0,0,0
924,0,0,0,0
925,0,0,0,0
926,0,0,0,0
927,0,0,0,0
928,0,0,0,0
929,0,0,0,0
930,0,0,0,0
931,0,0,0,0
932,0,0,0,0
933,0,0,0,0
934,0,0,0,0
935,0,0,0,0
936,0,0,0,0
937,0,0,0,0
938,0,0,0,0
939,0,0,0,0
940,0,0,0,0
941,0,0,0,0
942,0,0,0,0
943,0,0,0,0
944,0,0,0,0
945,0,0,0,0
946,0,0,0,0
947,0,0,0,0
948,0,0,0,0
949,0,0,0,0
950,0,0,0,0
951,0,0,0,0
952,0,0,0,0
953,0,0,0,0
954,0,0,0,0
955,0,0,0,0
956,0,0,0,0
957,0,0,0,0
958,0,0,0,0
959,0,0,0,0
960,0,0,0,0
961,0,0,0,0
962,0,0,0,0
963,0,0,0,0
964,0,0,0,0
965,0,0,0,0
966,0,0,0,0
967,0,0,0,0
968,0,0,0,0
969,0,0,0,0
970,0,0,0,0
971,0,0,0,0
972,0,0,0,0
973,0,0,0,0
974,0,0,0,0
975,0,0,0,0
976,0,0,0,0
977,0,0,0,0
978,0,0,0,0
979,0,0,0,0
980,0,0,0,0
981,0,0,0,0
982,0,0,0,0
983,0,0,0,0
984,0,0,0,0
985,0,0,0,0
986,0,0,0,0
987,0,0,0,0
988,0,0,0,0
989,0,0,0,0
990,0,0,0,0
991,0,0,0,0
992,0,0,0,0
993,0,0,0,0
994,0,0,0,0
995,0,0,0,0
996,0,0,0,0
997,0,0,0,0
998,0,0,0,0
999,0,0,0,0
1000,0,0,0,0
