WL(nm),ALI MS-1,ALI MS-2,ALI MS-3,ALI MS-4,ALI MS-4p,ALI MS-5p,ALI MS-5,ALI MS-7
504,0.98831,0.00016,0,0,0,0,0,0
505,0.9854,0.00022,0,0,0,0,0,0
506,0.98426,0.00031,0,0,0,0,0,0
507,0.99277,0.00042,0,0,0,0,0,0
508,0.99912,0.0006,0,0,0,0,0,0
509,1,0.00084,0,0,0,0,0,0
510,0.968,0.00111,0,0,0,0,0,0
511,0.88388,0.00143,0,0,0,0,0,0
512,0.72901,0.00191,0,0,0,0,0,0
513,0.54907,0.00234,0,0,0,0,0,0
514,0.38372,0.00299,0,0,0,0,0,0
515,0.26095,0.00379,0,0,0,0,0,0
516,0.17493,0.00493,0,0,0,0,0,0
517,0.12051,0.00676,0,0,0,0,0,0
518,0.08465,0.00963,0,0,0,0,0,0
519,0.06078,0.01413,0,0,0,0,0,0
520,0.04416,0.02166,0,0,0,0,0,0
521,0.03304,0.03329,0,0,0,0,0,0
522,0.02508,0.0527,0,0,0,0,0,0
523,0.01909,0.08222,0,0,0,0,0,0
524,0.01471,0.12653,0,0,0,0,0,0
525,0.01128,0.18246,0,0,0,0,0,0
526,0.00873,0.25315,0,0,0,0,0,0
527,0.00668,0.33383,0,0,0,0,0,0
528,0.00502,0.42369,0,0,0,0,0,0
529,0.00383,0.51961,0,0,0,0,0,0
530,0.00288,0.61307,0,0,0,0,0,0
531,0.00216,0.69206,0,0,0,0,0,0
532,0.00162,0.74734,0,0,0,0,0,0
533,0.00125,0.78427,0,0,0,0,0,0
534,0.00099,0.80615,0,0,0,0,0,0
535,0.00078,0.81964,0,0,0,0,0,0
536,0.00059,0.83077,0,0,0,0,0,0
537,0.00046,0.83893,0,0,0,0,0,0
538,0.00035,0.84611,0,0,0,0,0,0
539,0.0003,0.85127,0,0,0,0,0,0
540,0.00023,0.8554,0,0,0,0,0,0
541,0.00021,0.85825,0,0,0,0,0,0
542,0.00014,0.85711,0,0,0,0,0,0
543,0.00012,0.85607,0,0,0,0,0,0
544,0.00011,0.85258,0,0,0,0,0,0
545,0.0001,0.85019,0,0,0,0,0,0
546,0.00009,0.84993,0,0,0,0,0,0
547,0.00008,0.84812,0,0,0,0,0,0
548,0.00005,0.85074,0,0,0,0,0,0
549,0.00005,0.85392,0,0,0,0,0,0
550,0.00005,0.8573,0,0,0,0,0,0
551,0.00002,0.86113,0,0,0,0,0,0
552,0.00004,0.86887,0,0,0,0,0,0
553,0.00004,0.87774,0,0,0,0,0,0
554,0.00005,0.88815,0,0,0,0,0,0
555,0.00002,0.8969,0,0,0,0,0,0
556,0.00003,0.90286,0,0,0,0,0,0
557,0.00002,0.90407,0,0,0,0,0,0
558,0.00001,0.90407,0,0,0,0,0,0
559,0.00002,0.90389,0,0,0,0,0,0
560,0,0.90618,0,0,0,0,0,0
561,0,0.90787,0,0,0,0,0,0
562,0,0.90849,0,0,0,0,0,0
563,0,0.90949,0,0,0,0,0,0
564,0,0.91082,0,0,0,0,0,0
565,0,0.91263,0,0,0,0,0,0
566,0,0.91389,0,0,0,0,0,0
567,0,0.91521,0,0,0,0,0,0
568,0,0.91836,0,0,0,0,0,0
569,0,0.91772,0,0,0,0,0,0
570,0,0.91696,0,0,0,0,0,0
571,0,0.91492,0,0,0,0,0,0
572,0,0.91721,0,0,0,0,0,0
573,0,0.92045,0,0,0,0,0,0
574,0,0.92582,0,0,0,0,0,0
575,0,0.9329,0,0,0,0,0,0
576,0,0.94443,0,0,0,0,0,0
577,0,0.95132,0.00001,0,0,0,0,0
578,0,0.95154,0.00003,0,0,0,0,0
579,0,0.95563,0.00004,0,0,0,0,0
580,0,0.95369,0.00004,0,0,0,0,0
581,0,0.95866,0.00003,0,0,0,0,0
582,0,0.9639,0.00004,0,0,0,0,0
583,0,0.96879,0.00004,0,0,0,0,0
584,0,0.97226,0.00003,0,0,0,0,0
585,0,0.97166,0.00003,0,0,0,0,0
586,0,0.96948,0.00003,0,0,0,0,0
587,0,0.96714,0.00004,0,0,0,0,0
588,0,0.96326,0.00004,0,0,0,0,0
589,0,0.96344,0.00004,0,0,0,0,0
590,0,0.96763,0.00004,0,0,0,0,0
591,0,0.97323,0.00005,0,0,0,0,0
592,0,0.98217,0.00007,0,0,0,0,0
593,0,0.99015,0.00009,0,0,0,0,0
594,0,0.9947,0.00011,0,0,0,0,0
595,0,0.99949,0.00014,0,0,0,0,0
596,0,1.00009,0.00019,0,0,0,0,0
597,0,0.99433,0.00023,0,0,0,0,0
598,0,0.97685,0.00031,0,0,0,0,0
599,0,0.93763,0.00043,0,0,0,0,0
600,0,0.86768,0.00054,0,0,0,0,0
601,0,0.76963,0.00072,0,0,0,0,0
602,0,0.64506,0.00087,0,0,0,0,0
603,0,0.52314,0.001,0,0,0,0,0
604,0,0.4083,0.0011,0,0,0,0,0
605,0,0.31429,0.0012,0,0,0,0,0
606,0,0.23953,0.00131,0,0,0,0,0
607,0,0.18306,0.00143,0,0,0,0,0
608,0,0.14002,0.00158,0,0,0,0,0
609,0,0.10708,0.00183,0,0,0,0,0
610,0,0.08244,0.00221,0,0,0,0,0
611,0,0.06265,0.00261,0,0,0,0,0
612,0,0.04782,0.00323,0,0,0,0,0
613,0,0.0353,0.00406,0,0,0,0,0
614,0,0.02565,0.00524,0,0,0,0,0
615,0,0.0182,0.00696,0,0,0,0,0
616,0,0.01282,0.00941,0,0,0,0,0
617,0,0.00901,0.01278,0,0,0,0,0
618,0,0.00626,0.01759,0,0,0,0,0
619,0,0.00432,0.02448,0,0,0,0,0
620,0,0.00292,0.03337,0,0,0,0,0
621,0,0.00207,0.0455,0,0,0,0,0
622,0,0.00147,0.06016,0,0,0,0,0
623,0,0.00102,0.0793,0,0,0,0,0
624,0,0.00075,0.10217,0,0,0,0,0
625,0,0.00059,0.13175,0,0,0,0,0
626,0,0.00044,0.16791,0,0,0,0,0
627,0,0.00034,0.21572,0,0,0,0,0
628,0,0.00026,0.27544,0,0,0,0,0
629,0,0.00021,0.35354,0,0,0,0,0
630,0,0.00017,0.44384,0,0,0,0,0
631,0,0,0.54546,0,0,0,0,0
632,0,0,0.64489,0,0,0,0,0
633,0,0,0.73004,0,0,0,0,0
634,0,0,0.79863,0,0,0,0,0
635,0,0,0.83734,0,0,0,0,0
636,0,0,0.85565,0,0,0,0,0
637,0,0,0.86014,0,0,0,0,0
638,0,0,0.85607,0,0,0,0,0
639,0,0,0.85171,0,0,0,0,0
640,0,0,0.84349,0,0,0,0,0
641,0,0,0.84554,0,0,0,0,0
642,0,0,0.85532,0,0,0,0,0
643,0,0,0.86361,0,0,0,0,0
644,0,0,0.88001,0,0,0,0,0
645,0,0,0.896,0,0,0,0,0
646,0,0,0.90471,0,0,0,0,0
647,0,0,0.91358,0,0,0,0,0
648,0,0,0.92119,0,0,0,0,0
649,0,0,0.92226,0,0,0,0,0
650,0,0,0.9271,0,0,0,0,0
651,0,0,0.93298,0,0,0,0,0
652,0,0,0.93059,0,0,0,0,0
653,0,0,0.9371,0,0,0,0,0
654,0,0,0.92905,0,0,0,0,0
655,0,0,0.92086,0,0,0,0,0
656,0,0,0.90809,0,0,0,0,0
657,0,0,0.89671,0,0,0,0,0
658,0,0,0.889,0,0,0,0,0
659,0,0,0.88949,0,0,0,0,0
660,0,0,0.89394,0,0,0,0,0
661,0,0,0.90559,0,0,0,0,0
662,0,0,0.92354,0,0,0,0,0
663,0,0,0.93587,0,0,0,0,0
664,0,0,0.94358,0,0,0,0,0
665,0,0,0.94627,0,0,0,0,0
666,0,0,0.94172,0,0,0,0,0
667,0,0,0.93366,0,0,0,0,0
668,0,0,0.9246,0,0,0,0,0
669,0,0,0.92369,0,0,0,0,0
670,0,0,0.92638,0,0,0,0,0
671,0,0,0.93358,0,0,0,0,0
672,0,0,0.9479,0,0,0,0,0
673,0,0,0.96099,0,0,0,0,0
674,0,0,0.97228,0,0,0,0,0
675,0,0,0.97591,0,0,0,0,0
676,0,0,0.97022,0,0,0,0,0
677,0,0,0.96448,0,0,0,0,0
678,0,0,0.95961,0,0,0,0,0
679,0,0,0.95992,0,0,0,0,0
680,0,0,0.96566,0,0,0,0,0
681,0,0,0.97469,0,0,0,0,0
682,0,0,0.98972,0,0,0,0,0
683,0,0,0.99998,0,0,0,0,0
684,0,0,0.99968,0,0,0,0,0
685,0,0,0.97325,0,0,0,0,0
686,0,0,0.91412,0,0,0,0,0
687,0,0,0.80932,0,0,0,0,0
688,0,0,0.66334,0,0,0,0,0
689,0,0,0.50773,0,0,0,0,0
690,0,0,0.35971,0,0,0,0,0
691,0,0,0.24415,0,0,0,0,0
692,0,0,0.163,0,0,0,0,0
693,0,0,0.1075,0,0,0,0,0
694,0,0,0.07135,0,0,0,0,0
695,0,0,0.04828,0,0,0,0,0
696,0,0,0.03305,0,0,0,0,0
697,0,0,0.02307,0,0,0,0,0
698,0,0,0.01653,0,0,0,0,0
699,0,0,0.01183,0,0,0,0,0
700,0,0,0.00889,0,0,0,0,0
701,0,0,0.0067,0,0,0,0,0
702,0,0,0.00503,0,0,0,0,0
703,0,0,0.00392,0,0,0,0,0
704,0,0,0.00308,0,0,0,0,0
705,0,0,0.00245,0,0,0,0,0
706,0,0,0.00192,0,0,0,0,0
707,0,0,0.00161,0,0,0,0,0
708,0,0,0.00125,0,0,0,0,0
709,0,0,0.00103,0,0,0,0,0
710,0,0,0.00082,0,0,0,0,0
711,0,0,0.00071,0,0,0,0,0
712,0,0,0.00063,0,0,0,0,0
713,0,0,0.00053,0,0,0,0,0
714,0,0,0.00043,0,0,0,0,0
715,0,0,0.00037,0,0,0,0,0
716,0,0,0.00032,0,0,0,0,0
717,0,0,0.00024,0,0,0,0,0
718,0,0,0.0002,0,0,0,0,0
719,0,0,0.00018,0,0,0,0,0
720,0,0,0.00016,0,0,0,0,0
721,0,0,0.00015,0,0,0,0,0
722,0,0,0.00012,0,0,0,0,0
723,0,0,0.0001,0,0,0,0,0
724,0,0,0.00009,0,0,0,0,0
725,0,0,0.00004,0,0,0,0,0
726,0,0,0.00004,0,0,0,0,0
727,0,0,0.00005,0,0,0,0,0
728,0,0,0.00001,0,0,0,0,0
729,0,0,0.00002,0,0,0,0,0
730,0,0,0.00003,0,0,0,0,0
731,0,0,0,0,0,0,0,0
732,0,0,0.00002,0,0,0,0,0
733,0,0,0.00002,0,0,0,0,0
734,0,0,0,0,0,0,0,0
735,0,0,0,0,0,0,0,0
736,0,0,0,0,0,0,0,0
737,0,0,0.00002,0,0,0,0,0
738,0,0,0.00002,0,0,0,0,0
739,0,0,0,0,0,0,0,0
740,0,0,0,0,0,0,0,0
741,0,0,0,0,0,0,0,0
742,0,0,0,0,0,0,0,0
743,0,0,0,0,0,0,0,0
744,0,0,0,0,0,0,0,0
745,0,0,0,0,0,0,0,0
746,0,0,0,0,0,0,0,0
747,0,0,0,0,0,0,0,0
748,0,0,0,0,0,0,0,0
749,0,0,0,0,0,0,0,0
750,0,0,0,0.00018,0,0,0,0
751,0,0,0,0.00015,0,0,0,0
752,0,0,0,0.00014,0,0,0,0
753,0,0,0,0.00018,0,0,0,0
754,0,0,0,0.0002,0,0,0,0
755,0,0,0,0.00027,0,0,0,0
756,0,0,0,0.0004,0,0,0,0
757,0,0,0,0.00055,0,0,0,0
758,0,0,0,0.00073,0,0,0,0
759,0,0,0,0.00108,0,0,0,0
760,0,0,0,0.0015,0,0,0,0
761,0,0,0,0.00217,0,0,0,0
762,0,0,0,0.00312,0,0,0,0
763,0,0,0,0.00493,0,0,0,0
764,0,0,0,0.00725,0,0,0,0
765,0,0,0,0.01135,0,0,0,0
766,0,0,0,0.01701,0,0,0,0
767,0,0,0,0.02492,0,0,0,0
768,0,0,0,0.036,0,0,0,0
769,0,0,0,0.05093,0,0,0,0
770,0,0,0,0.07174,0,0,0,0
771,0,0,0,0.10145,0,0,0,0
772,0,0,0,0.14875,0,0,0,0
773,0,0,0,0.22369,0,0,0,0
774,0,0,0,0.34435,0,0,0,0
775,0,0,0,0.51863,0,0,0,0
776,0,0,0,0.72925,0,0,0,0
777,0,0,0,0.90468,0,0,0,0
778,0,0,0,0.98523,0,0,0,0
779,0,0,0,1,0,0,0,0
780,0,0,0,0.99355,0,0,0,0
781,0,0,0,0.98928,0,0,0,0
782,0,0,0,0.98333,0,0,0,0
783,0,0,0,0.98836,0,0,0,0
784,0,0,0,0.98918,0,0,0,0
785,0,0,0,0.99286,0,0,0,0
786,0,0,0,0.99384,0,0,0,0
787,0,0,0,0.99177,0,0,0,0
788,0,0,0,0.98929,0,0,0,0
789,0,0,0,0.99566,0,0,0,0
790,0,0,0,0.99487,0,0,0,0
791,0,0,0,0.99191,0,0,0,0
792,0,0,0,0.9871,0,0,0,0
793,0,0,0,0.97841,0,0,0,0
794,0,0,0,0.97103,0,0,0,0
795,0,0,0,0.96383,0,0,0,0
796,0,0,0,0.95439,0,0,0,0
797,0,0,0,0.95076,0,0,0,0
798,0,0,0,0.9507,0,0,0,0
799,0,0,0,0.96036,0,0,0,0
800,0,0,0,0.96334,0,0,0,0
801,0,0,0,0.95443,0.00002,0,0,0
802,0,0,0,0.92595,0.00001,0,0,0
803,0,0,0,0.86804,0,0,0,0
804,0,0,0,0.7657,0.00002,0,0,0
805,0,0,0,0.61815,0.00004,0,0,0
806,0,0,0,0.4349,0.00002,0,0,0
807,0,0,0,0.27562,0.00004,0,0,0
808,0,0,0,0.16107,0.00002,0,0,0
809,0,0,0,0.09372,0.00005,0,0,0
810,0,0,0,0.05492,0.00004,0,0,0
811,0,0,0,0.03439,0.00005,0,0,0
812,0,0,0,0.02246,0.00004,0,0,0
813,0,0,0,0.01563,0.00006,0,0,0
814,0,0,0,0.0114,0.00006,0,0,0
815,0,0,0,0.00862,0.00007,0,0,0
816,0,0,0,0.00691,0.00009,0,0,0
817,0,0,0,0.00582,0.00009,0,0,0
818,0,0,0,0.00488,0.00013,0,0,0
819,0,0,0,0.0042,0.00014,0,0,0
820,0,0,0,0.00351,0.00017,0,0,0
821,0,0,0,0.00291,0.00021,0,0,0
822,0,0,0,0.00235,0.00026,0,0,0
823,0,0,0,0.00189,0.00031,0,0,0
824,0,0,0,0.00143,0.0004,0,0,0
825,0,0,0,0.00116,0.00051,0,0,0
826,0,0,0,0.00085,0.00062,0,0,0
827,0,0,0,0.0007,0.00082,0,0,0
828,0,0,0,0.00058,0.00106,0,0,0
829,0,0,0,0.00053,0.00143,0,0,0
830,0,0,0,0.00047,0.0019,0,0,0
831,0,0,0,0.00034,0.00252,0,0,0
832,0,0,0,0.0003,0.00351,0,0,0
833,0,0,0,0.00024,0.00488,0,0,0
834,0,0,0,0.00016,0.00693,0,0,0
835,0,0,0,0.00012,0.01027,0,0,0
836,0,0,0,0.00007,0.01541,0,0,0
837,0,0,0,0.00006,0.02366,0,0,0
838,0,0,0,0.00002,0.03771,0,0,0
839,0,0,0,0,0.0607,0,0,0
840,0,0,0,0,0.09974,0,0,0
841,0,0,0,0,0.16736,0,0,0
842,0,0,0,0,0.28099,0,0,0
843,0,0,0,0,0.44911,0,0,0
844,0,0,0,0,0.65757,0,0,0
845,0,0,0,0,0.8497,0,0,0
846,0,0,0,0,0.96108,0,0,0
847,0,0,0,0,0.99613,0,0,0
848,0,0,0,0,0.9997,0,0,0
849,0,0,0,0,0.99172,0,0,0
850,0,0,0,0,0.98548,0,0,0
851,0,0,0,0,0.98814,0,0,0
852,0,0,0,0,0.9932,0,0,0
853,0,0,0,0,0.99655,0,0,0
854,0,0,0,0,1,0,0,0
855,0,0,0,0,0.99721,0,0,0
856,0,0,0,0,0.99146,0,0,0
857,0,0,0,0,0.9893,0,0,0
858,0,0,0,0,0.98107,0,0,0
859,0,0,0,0,0.97739,0,0,0
860,0,0,0,0,0.97231,0,0,0
861,0,0,0,0,0.9726,0,0,0
862,0,0,0,0,0.97077,0,0,0
863,0,0,0,0,0.97435,0,0,0
864,0,0,0,0,0.96801,0,0,0
865,0,0,0,0,0.96842,0,0,0
866,0,0,0,0,0.96663,0,0,0
867,0,0,0,0,0.95686,0,0,0
868,0,0,0,0,0.95986,0,0,0
869,0,0,0,0,0.94339,0,0,0
870,0,0,0,0,0.93157,0,0,0
871,0,0,0,0,0.92832,0,0,0
872,0,0,0,0,0.92322,0,0,0
873,0,0,0,0,0.91609,0,0,0
874,0,0,0,0,0.91985,0,0,0
875,0,0,0,0,0.91582,0,0,0
876,0,0,0,0,0.91916,0,0,0
877,0,0,0,0,0.91088,0,0,0
878,0,0,0,0,0.90749,0,0,0
879,0,0,0,0,0.81349,0,0,0
880,0,0,0,0,0.88573,0,0,0
881,0,0,0,0,0.87418,0,0,0
882,0,0,0,0,0.86148,0,0,0
883,0,0,0,0,0.84307,0,0,0
884,0,0,0,0,0.81707,0,0,0
885,0,0,0,0,0.77645,0,0,0
886,0,0,0,0,0.72258,0,0,0
887,0,0,0,0,0.65382,0,0,0
888,0,0,0,0,0.56468,0,0,0
889,0,0,0,0,0.46442,0,0,0
890,0,0,0,0,0.36796,0,0,0
891,0,0,0,0,0.27361,0,0,0
892,0,0,0,0,0.19381,0,0,0
893,0,0,0,0,0.13567,0,0,0
894,0,0,0,0,0.09122,0,0,0
895,0,0,0,0,0.06098,0,0,0
896,0,0,0,0,0.04167,0,0,0
897,0,0,0,0,0.02872,0,0,0
898,0,0,0,0,0.01965,0,0,0
899,0,0,0,0,0.01412,0,0,0
900,0,0,0,0,0.01008,0,0,0
901,0,0,0,0,0.00745,0,0,0
902,0,0,0,0,0.00575,0,0,0
903,0,0,0,0,0.00411,0,0,0
904,0,0,0,0,0.00326,0,0,0
905,0,0,0,0,0.00263,0,0,0
906,0,0,0,0,0.00211,0,0,0
907,0,0,0,0,0.0016,0,0,0
908,0,0,0,0,0.00135,0,0,0
909,0,0,0,0,0.00106,0,0,0
910,0,0,0,0,0.00079,0,0,0
911,0,0,0,0,0.00073,0,0,0
912,0,0,0,0,0.0008,0,0,0
913,0,0,0,0,0.00031,0,0,0
914,0,0,0,0,0.00049,0,0,0
915,0,0,0,0,0.00051,0,0,0
916,0,0,0,0,0.00052,0,0,0
917,0,0,0,0,0.00045,0,0,0
918,0,0,0,0,0.00024,0,0,0
919,0,0,0,0,0.00014,0,0,0
920,0,0,0,0,0.00026,0,0,0
921,0,0,0,0,0.00025,0,0,0
922,0,0,0,0,0.00028,0,0,0
923,0,0,0,0,0.00012,0,0,0
924,0,0,0,0,0.00016,0,0,0
925,0,0,0,0,0.00018,0,0,0
926,0,0,0,0,0.00022,0,0,0
927,0,0,0,0,0.00004,0,0,0
928,0,0,0,0,0.00018,0,0,0
929,0,0,0,0,0.00011,0,0,0
930,0,0,0,0,0.00026,0,0,0
931,0,0,0,0,0.00005,0,0,0
932,0,0,0,0,0.00017,0,0,0
933,0,0,0,0,0.00016,0,0,0
934,0,0,0,0,0.00033,0,0,0
935,0,0,0,0,0.0001,0,0,0
936,0,0,0,0,0,0,0,0
937,0,0,0,0,0,0,0,0
938,0,0,0,0,0,0,0,0
939,0,0,0,0,0,0,0,0
940,0,0,0,0,0,0,0,0
941,0,0,0,0,0,0,0,0
942,0,0,0,0,0,0,0,0
943,0,0,0,0,0,0,0,0
944,0,0,0,0,0,0,0,0
945,0,0,0,0,0,0,0,0
946,0,0,0,0,0,0,0,0
947,0,0,0,0,0,0,0,0
948,0,0,0,0,0,0,0,0
949,0,0,0,0,0,0,0,0
950,0,0,0,0,0,0,0,0
951,0,0,0,0,0,0,0,0
952,0,0,0,0,0,0,0,0
953,0,0,0,0,0,0,0,0
954,0,0,0,0,0,0,0,0
955,0,0,0,0,0,0,0,0
956,0,0,0,0,0,0,0,0
957,0,0,0,0,0,0,0,0
958,0,0,0,0,0,0,0,0
959,0,0,0,0,0,0,0,0
960,0,0,0,0,0,0,0,0
961,0,0,0,0,0,0,0,0
962,0,0,0,0,0,0,0,0
963,0,0,0,0,0,0,0,0
964,0,0,0,0,0,0,0,0
965,0,0,0,0,0,0,0,0
966,0,0,0,0,0,0,0,0
967,0,0,0,0,0,0,0,0
968,0,0,0,0,0,0,0,0
969,0,0,0,0,0,0,0,0
970,0,0,0,0,0,0,0,0
971,0,0,0,0,0,0,0,0
972,0,0,0,0,0,0,0,0
973,0,0,0,0,0,0,0,0
974,0,0,0,0,0,0,0,0
975,0,0,0,0,0,0,0,0
976,0,0,0,0,0,0,0,0
977,0,0,0,0,0,0,0,0
978,0,0,0,0,0,0,0,0
979,0,0,0,0,0,0,0,0
980,0,0,0,0,0,0,0,0
981,0,0,0,0,0,0,0,0
982,0,0,0,0,0,0,0,0
983,0,0,0,0,0,0,0,0
984,0,0,0,0,0,0,0,0
985,0,0,0,0,0,0,0,0
986,0,0,0,0,0,0,0,0
987,0,0,0,0,0,0,0,0
988,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0
990,0,0,0,0,0,0,0,0
991,0,0,0,0,0,0,0,0
992,0,0,0,0,0,0,0,0
993,0,0,0,0,0,0,0,0
994,0,0,0,0,0,0,0,0
995,0,0,0,0,0,0,0,0
996,0,0,0,0,0,0,0,0
997,0,0,0,0,0,0,0,0
998,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0
1001,0,0,0,0,0,0,0,0
1002,0,0,0,0,0,0,0,0
1003,0,0,0,0,0,0,0,0
1004,0,0,0,0,0,0,0,0
1005,0,0,0,0,0,0,0,0
1006,0,0,0,0,0,0,0,0
1007,0,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0,0
1009,0,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0
1011,0,0,0,0,0,0,0,0
1012,0,0,0,0,0,0,0,0
1013,0,0,0,0,0,0,0,0
1014,0,0,0,0,0,0,0,0
1015,0,0,0,0,0,0,0,0
1016,0,0,0,0,0,0,0,0
1017,0,0,0,0,0,0,0,0
1018,0,0,0,0,0,0,0,0
1019,0,0,0,0,0,0,0,0
1020,0,0,0,0,0,0,0,0
1021,0,0,0,0,0,0,0,0
1022,0,0,0,0,0,0,0,0
1023,0,0,0,0,0,0,0,0
1024,0,0,0,0,0,0,0,0
1025,0,0,0,0,0,0,0,0
1026,0,0,0,0,0,0,0,0
1027,0,0,0,0,0,0,0,0
1028,0,0,0,0,0,0,0,0
1029,0,0,0,0,0,0,0,0
1030,0,0,0,0,0,0,0,0
1031,0,0,0,0,0,0,0,0
1032,0,0,0,0,0,0,0,0
1033,0,0,0,0,0,0,0,0
1034,0,0,0,0,0,0,0,0
1035,0,0,0,0,0,0,0,0
1036,0,0,0,0,0,0,0,0
1037,0,0,0,0,0,0,0,0
1038,0,0,0,0,0,0,0,0
1039,0,0,0,0,0,0,0,0
1040,0,0,0,0,0,0,0,0
1041,0,0,0,0,0,0,0,0
1042,0,0,0,0,0,0,0,0
1043,0,0,0,0,0,0,0,0
1044,0,0,0,0,0,0,0,0
1045,0,0,0,0,0,0,0,0
1046,0,0,0,0,0,0,0,0
1047,0,0,0,0,0,0,0,0
1048,0,0,0,0,0,0,0,0
1049,0,0,0,0,0,0,0,0
1050,0,0,0,0,0,0,0,0
1051,0,0,0,0,0,0,0,0
1052,0,0,0,0,0,0,0,0
1053,0,0,0,0,0,0,0,0
1054,0,0,0,0,0,0,0,0
1055,0,0,0,0,0,0,0,0
1056,0,0,0,0,0,0,0,0
1057,0,0,0,0,0,0,0,0
1058,0,0,0,0,0,0,0,0
